;id_Comp_Matriz;Servicio;Ministerio;Anio;indicador1;indicador2;indicador3;indicador4;indicador5;indicador6;indicador8;indicador9;indicador10;indicador11;indicador12;indicador13;indicador14;indicador15;indicador16;indicador17;indicador18;indicador19;indicador20;indicador21;indicador22;indicador23;indicador24;indicador25;indicador26;indicador27;indicador28;indicador29;indicador30;indicador31;indicador32;indicador1_III;indicador2_III;indicador3_III;indicador4_III;indicador5_III;indicador6_III;indicador8_III;indicador9_III;indicador10_III;indicador11_III;indicador12_III;indicador13_III;indicador14_III;indicador15_III;indicador16_III;indicador17_III;indicador18_III;indicador19_III;indicador20_III;indicador21_III;indicador22_III;indicador23_III;indicador24_III;indicador25_III;indicador26_III;indicador27_III;indicador28_III;indicador29_III;indicador30_III;indicador31_III;indicador32_III;porComp;porTra;porAnom;porProm;score;Ministerio_y;Monto;Cantidad_licitaciones
833;6957;Central De Abastecimiento Del Sistema Nacional De Servicio De Salud;Ministerio de Salud;2021;27.3;3.0;0.0;18.319783197831978;27.53387533875339;34.25720401116262;106.98192989440099;200.085811715261;0.014557203592942611;0.014570514410027354;3.43;0.3251783893985729;11.195240670632774;16.16350088012025;1.67;0.0;0.382262996941896;0.61;1.87;0.37;0.1;1.63;0.0;0.1;1.33;0.43000000000000005;0.2;;1.87;0.37;0.0;1.0;3.0;2.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;;1.0;1.0;1.0;20.0;0.0;0.0;10.0;68.55731922398589;;1164592977938.0;1863
1390;6957;Central De Abastecimiento Del Sistema Nacional De Servicio De Salud;Ministerio de Salud;2022;26.4;3.0;0.0;22.916666666666668;19.791666666666664;27.83102258659515;90.69448611893;191.100303984393;0.011263671886436465;0.014086309773821594;3.006;0.4118421052631579;10.355987055016183;16.11531941676638;1.78;0.0;0.6907894736842105;0.26;2.6;0.82;0.13;1.84;0.0;0.0;2.63;1.2999999999999998;0.13;;2.6;0.82;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;0.0;13.0;72.1501147164864;;963569290112.0;1560
1908;7002;Junta Nacional De Auxilio Escolar Y Beca;Ministerio de Educación;2022;31.5;3.0;-1.0;53.58200118413262;15.91715976331361;9.26503433467392;82.720397512586;780.651254408649;0.04988936078477017;0.019882364891262584;4.972;1.8251748251748252;12.224669603524228;44.26789256588919;1.88;0.0;18.181818181818183;16.78;9.78;33.33;1.4;1.4;0.7;0.0;65.29;11.390000000000008;2.1;0.0;9.78;33.33;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;1.0;1.0;20.0;0.0;0.0;10.0;65.37253782472166;;845499865647.0;2027
1933;6954;Fondo Nacional De Salud;Ministerio de Salud;2022;21.4;4.0;-4.0;49.7093023255814;37.01550387596899;20.51469357814179;157.76255775511999;825.8532487356659;0.05515155787598678;0.1654830549660867;4.0;3.3095238095238093;20.59620596205962;35.82752309699382;3.86;0.0;24.404761904761905;4.76;8.0;0.0;2.38;7.14;0.0;0.0;94.12;-0.10999999999999943;2.38;0.0;8.0;0.0;0.0;1.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;10.0;17.0;61.566276524883435;;826944325580.0;1112
253;7002;Junta Nacional De Auxilio Escolar Y Beca;Ministerio de Educación;2021;25.9;4.0;0.0;53.06539509536785;14.850136239782016;16.70853974505982;124.81697556112499;981.1303432280371;0.041335778337045076;0.02631362389045635;3.665;2.3271604938271606;17.438364401683707;51.57763959363796;1.9;0.0;14.351851851851851;25.93;4.9;20.0;1.23;3.7;0.0;0.0;53.9;24.63;1.23;0.0;4.9;20.0;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;13.0;0.0;0.0;6.0;68.55777436422598;;795996535253.0;1818
965;7079;Subsecretaria De Salud Publica;Ministerio de Salud;2021;30.1;4.0;0.0;17.802868150684933;52.244635882069666;93.23564979994478;26.238284883779997;159.192479710622;0.007599243747397683;0.0028939451854556797;5.655;1.5567484662576687;6.5342394145321485;18.363486313151295;1.9;0.0;25.87920489296636;19.27;18.2;60.0;14.22;3.52;0.15;0.0;84.08;3.769999999999996;14.22;0.96;18.2;60.0;0.0;1.0;3.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;2.0;1.0;27.0;0.0;9.0;16.0;57.46714456391876;;495272744896.0;20954
1719;94459;I Municipalidad De Parral;Municipios;2022;45.8;3.0;1.0;38.82669055082848;13.121361397223467;15.16854567330354;37.322888339227;238.409125203113;0.0036619480817172874;0.0410199800676475;1.468;1.847457627118644;6.411359724612737;22.49323487310601;2.04;0.0;21.830985915492956;11.27;57.14;60.71;0.0;2.11;0.0;0.0;81.63;25.889999999999993;0.0;0.0;57.14;60.71;;2.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;2.0;2.0;;20.0;0.0;11.0;14.0;69.4624713208784;;345659099904.0;130496
350;6954;Fondo Nacional De Salud;Ministerio de Salud;2021;15.4;8.0;4.0;46.79611650485437;44.75728155339806;57.66725417745345;139.06111913725502;257.914451696113;0.07041180139110784;0.017660025936823125;4.472;6.430769230769231;17.34786557674841;23.02127395248013;1.69;0.0;24.23076923076923;9.23;19.35;30.0;0.0;6.15;0.0;1.54;94.23;19.810000000000002;1.54;0.0;19.35;30.0;0.0;1.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;9.0;3.0;66.4652671104284;;340708477626.0;1104
157;94459;I Municipalidad De Parral;Municipios;2021;42.3;2.0;-3.0;39.73582828838745;25.041276829939463;21.558597180226773;52.823180189333;291.48416216394196;0.01110646470360002;0.06570835875034925;3.297;2.0714285714285716;9.513852587558809;25.234584631311144;1.61;0.0;16.346153846153847;8.97;52.17;42.86;0.0;2.56;0.0;0.0;55.74;14.18;0.0;0.0;52.17;42.86;0.0;2.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;13.0;0.0;0.0;6.0;66.11708482676224;;298056207296.0;107712
1999;7243;Ministerio De Obras Publicas Direc Cion Gral De Oo Pp Dcyf;Ministerio de Obras Públicas;2022;20.8;4.0;1.0;34.40545808966861;17.543859649122805;11.802624580700263;916.5733178155939;370.182285572898;0.2613039079660028;0.05710201426825936;2.764;1.990566037735849;34.72762645914397;29.968917775839387;2.64;0.0;18.39622641509434;1.89;27.27;100.0;0.94;7.55;0.0;0.0;67.78;-4.950000000000003;0.94;0.0;27.27;100.0;;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;3.0;;20.0;20.0;22.0;21.0;57.74827925270402;;239072436905.0;23834
